skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
9413810,6942292,772030,70283836,1029826,0,623112,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8909488,7045920,835464,67093936,1083180,0,653576
9243822,6906858,712614,67002166,1029826,0,641886,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9217096,7124208,678748,70473816,1021650,0,638456
8872668,7106876,837396,67992526,1103088,0,652848,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9413446,6813380,754012,70217112,1026004,280,634214
9170364,7282128,669438,70084280,1049104,0,630224,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9351174,6845258,773304,66082814,1063972,0,644056
9429714,6901258,759304,70550158,1013726,0,631456,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8913982,7195888,941388,68429788,1087436,0,648928
8972586,6918688,1059912,66893204,1081276,0,643468,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9175460,7116984,990500,70546224,1026732,280,626472
8938888,7189686,860188,68435766,1100246,0,654570,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9464098,6752816,895776,68898718,1039794,0,631148
9164764,7260078,993160,69724368,1022532,0,637462,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9137548,6919514,863310,66759742,1059898,0,641746
9116562,6682578,851816,68755288,1035146,0,632982,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8943060,7168756,846636,68883626,1094506,280,650552
9087722,6917470,826476,67324530,1077426,0,642208,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9067450,7184002,780668,70909230,1043574,0,632114
