SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Ch2Read,SKT0-Ch2Write,SKT0-Ch3Read,SKT0-Ch3Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),System-Read,System-Write,System-Memory
    1.11,    0.89,    9.09,    8.86,    0.96,    0.72,    0.99,    0.76,   12.15,   11.23,4268249210,   23.38,     12.15,     11.23,     23.38
    1.06,    0.83,    9.02,    8.80,    0.94,    0.71,    0.96,    0.72,   11.98,   11.06,4264323107,   23.04,     11.98,     11.06,     23.04
    1.04,    0.80,    8.94,    8.70,    0.96,    0.71,    0.95,    0.71,   11.89,   10.92,4263946144,   22.81,     11.89,     10.92,     22.81
    0.94,    0.71,    8.91,    8.67,    0.88,    0.63,    0.92,    0.68,   11.65,   10.69,4268242739,   22.34,     11.65,     10.69,     22.34
    1.01,    0.75,    9.06,    8.79,    0.96,    0.68,    0.99,    0.71,   12.02,   10.93,4263949004,   22.95,     12.02,     10.93,     22.95
    1.00,    0.75,    9.00,    8.74,    0.89,    0.64,    0.95,    0.69,   11.83,   10.82,4264207361,   22.65,     11.83,     10.82,     22.65
    1.08,    0.81,    9.06,    8.79,    0.97,    0.70,    0.97,    0.70,   12.07,   11.00,4268240158,   23.07,     12.07,     11.00,     23.07
    1.02,    0.79,    9.01,    8.78,    0.96,    0.72,    0.92,    0.68,   11.91,   10.98,4263953455,   22.88,     11.91,     10.98,     22.88
    0.97,    0.76,    8.95,    8.73,    0.95,    0.72,    0.82,    0.60,   11.70,   10.80,4263951344,   22.50,     11.70,     10.80,     22.50
    0.94,    0.73,    8.95,    8.74,    0.88,    0.65,    0.77,    0.57,   11.54,   10.68,4268241932,   22.22,     11.54,     10.68,     22.22
    3.24,    1.93,   11.24,    9.90,    3.19,    1.87,    3.06,    1.73,   20.73,   15.43,4263964687,   36.16,     20.73,     15.43,     36.16
    1.69,    1.27,    9.69,    9.27,    1.64,    1.23,    1.52,    1.11,   14.54,   12.89,4264021023,   27.43,     14.54,     12.89,     27.43
    1.46,    1.18,    9.42,    9.13,    1.44,    1.15,    1.32,    1.04,   13.64,   12.51,4268215712,   26.14,     13.64,     12.51,     26.14
    1.43,    1.09,    9.42,    9.07,    1.49,    1.15,    1.39,    1.04,   13.73,   12.34,4263960633,   26.07,     13.73,     12.34,     26.07
    1.24,    0.98,    9.30,    9.05,    1.27,    0.99,    1.26,    0.98,   13.07,   12.00,4268218648,   25.07,     13.07,     12.00,     25.07
    1.10,    0.84,    9.19,    8.93,    1.28,    1.01,    1.23,    0.97,   12.80,   11.74,4263957025,   24.54,     12.80,     11.74,     24.54
    1.37,    0.96,    9.37,    8.97,    1.46,    1.04,    1.42,    1.01,   13.63,   11.98,4263969663,   25.61,     13.63,     11.98,     25.61
    1.06,    0.79,    9.10,    8.83,    1.17,    0.90,    1.11,    0.83,   12.44,   11.35,4268216480,   23.79,     12.44,     11.35,     23.79
    2.29,    1.51,   10.27,    9.47,    2.27,    1.48,    2.18,    1.36,   17.01,   13.82,4264024204,   30.82,     17.01,     13.82,     30.82
    1.71,    1.45,    9.73,    9.46,    1.58,    1.31,    1.44,    1.15,   14.47,   13.36,4264144764,   27.83,     14.47,     13.36,     27.83
    1.56,    1.32,    9.55,    9.30,    1.42,    1.17,    1.29,    1.04,   13.82,   12.83,4268201082,   26.66,     13.82,     12.83,     26.66
    1.68,    1.31,    9.70,    9.31,    1.50,    1.11,    1.43,    1.04,   14.31,   12.78,4263927695,   27.09,     14.31,     12.78,     27.09
    1.38,    1.15,    9.46,    9.23,    1.30,    1.05,    1.27,    1.01,   13.41,   12.45,4263970153,   25.85,     13.41,     12.45,     25.85
    1.45,    1.18,    9.44,    9.17,    1.35,    1.10,    1.31,    1.04,   13.55,   12.49,4267958743,   26.04,     13.55,     12.49,     26.04
    1.43,    1.14,    9.41,    9.13,    1.40,    1.12,    1.34,    1.06,   13.57,   12.44,4263839546,   26.02,     13.57,     12.44,     26.02
    1.25,    1.05,    9.34,    9.13,    1.25,    1.05,    1.19,    0.98,   13.04,   12.21,4268303822,   25.24,     13.04,     12.21,     25.24
    1.31,    1.06,    9.36,    9.11,    1.33,    1.07,    1.31,    1.04,   13.32,   12.28,4263800790,   25.60,     13.32,     12.28,     25.60
    1.38,    1.04,    9.45,    9.11,    1.33,    1.00,    1.33,    0.98,   13.49,   12.12,4263931875,   25.61,     13.49,     12.12,     25.61
    1.10,    0.88,    9.19,    8.97,    1.13,    0.90,    1.06,    0.84,   12.49,   11.60,4268472954,   24.08,     12.49,     11.60,     24.08
    1.12,    0.90,    9.15,    8.93,    1.07,    0.84,    1.02,    0.79,   12.37,   11.47,4263799299,   23.83,     12.37,     11.47,     23.83
    1.14,    0.94,    9.12,    8.91,    1.01,    0.80,    0.97,    0.75,   12.23,   11.41,4263959426,   23.64,     12.23,     11.41,     23.64
    1.04,    0.83,    9.02,    8.80,    0.97,    0.74,    0.91,    0.68,   11.93,   11.04,4268221172,   22.97,     11.93,     11.04,     22.97
    1.14,    0.85,    9.09,    8.79,    1.14,    0.83,    1.05,    0.75,   12.42,   11.23,4263948584,   23.65,     12.42,     11.23,     23.65
    1.07,    0.82,    8.98,    8.73,    1.07,    0.82,    0.97,    0.71,   12.10,   11.09,4268208112,   23.18,     12.10,     11.09,     23.18
