skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
8811208,6985118,820540,66755486,1079246,0,654976,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8923474,7151774,1071896,69802992,1016302,0,642054
9054430,7002548,836080,69588064,1011388,0,647514,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9281650,6768174,1092588,66356584,1048376,0,656530
9230732,6783224,1188936,65518866,1055152,0,654542,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8864198,6967016,1077272,66252046,1089326,0,652302
8755698,7002856,1100134,67847094,1059926,0,635838,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9010484,7116354,1471218,69617184,1025010,0,637448
9055452,6665904,1303372,67695306,1034698,0,642978,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9163448,6785660,1326668,65935870,1056272,0,657006
8979432,6763694,1293936,66524556,1081402,280,655242,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8764098,7089068,1255870,68407626,1051246,0,646660
8850058,7092764,1260112,69365450,1032206,0,638820,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9023378,6942936,1233918,69922552,1018374,0,637616
9156126,6768216,1555456,67445336,1027026,0,649922,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9235450,6750002,1297940,66181374,1061284,0,660744
