skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
9170826,7218722,1568154,66954860,1076880,0,562268,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9151646,7171766,1673154,67116784,1066926,0,563892
9204874,7175308,1661576,67068638,1069950,0,562898,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9197776,7234150,1648248,67293198,1091398,0,561974
9148132,7135072,1737316,67200336,1098622,0,557956,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9222878,7264642,2249660,68345634,1106784,0,569394
9337608,7280294,2356858,68169514,1106322,14,565572,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9395596,7306306,2753226,68235776,1109262,14,571368
9498146,7258328,2715342,68410328,1111964,0,567672,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9495248,7232890,2606114,68176010,1121148,0,568288
9381218,7187278,3958696,69546204,1112916,0,571662,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9477762,6899214,5291230,70891310,1109122,0,577598
9673818,7035840,5396426,70592354,1121064,0,575316,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9606548,7024248,5076022,70372218,1107624,0,580706
9698136,7000406,4764774,69592348,1110270,0,578046,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9706634,6986686,4692604,70414358,1102220,0,578130
9554244,6967422,2141258,71085462,1095206,0,581840,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9619148,6815494,1451898,72422420,1055432,0,573594
9266726,6826932,1474200,71874418,1041320,0,552524,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,8987356,7027818,1666518,67855536,1061592,0,562688
9163938,7264824,1476986,68260710,1092168,0,569940,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,9534924,7170030,1477490,71164254,1122114,0,575904
9457406,6981240,1648108,73229114,1077454,0,573720,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
