skt-0_PCIRdCur,skt-0_RFO,skt-0_CRd,skt-0_DRd,skt-0_ItoM,skt-0_PRd,skt-0_WiL,skt-1_PCIRdCur,skt-1_RFO,skt-1_CRd,skt-1_DRd,skt-1_ItoM,skt-1_PRd,skt-1_WiL
56,28,657230,13837600,0,0,28,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,56,1341620,5168114,66486742,1010170,0,293524
7385686,5344290,5056702,66510822,1022840,980,292012,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7369292,5327112,5094292,66516576,1021706,980,291116
7386190,5332642,5004258,66679858,1011262,0,292250,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7375452,5336730,5005826,66557232,1015868,0,288078
7379582,5324578,4966542,66519166,1020040,980,289604,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7373506,5330262,5059586,66557736,1017646,980,289170
7365918,5329142,4995788,66389890,1016568,0,289464,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7371756,5326258,5028590,66411408,1014062,0,290332
7369040,5340566,5052026,66450118,1015098,994,292292,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7353850,5319188,4989054,66367686,1020460,994,294742
7312648,5327056,4932200,66427732,1011808,14,294602,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7354102,5331214,5061714,66318154,1009274,0,294616
7318654,5321806,4893966,66454066,1018346,980,295064,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7289730,5347860,4767196,66234462,1009946,980,295218
7292278,5337150,4798164,66279178,1020138,0,295176,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7211918,5330920,4969062,66359958,1014846,0,294238
7209608,5321680,4966794,66303622,1009694,980,294504,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7066038,5274094,5014884,66081512,1006824,0,293580
7195748,5303844,4854822,65969428,1008784,0,293804,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7222600,5306938,4890522,66275062,1011136,0,293888
7286664,5292602,4879798,66373972,1015602,0,293510,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7365484,5279638,4905026,66195948,1019200,0,293356
7362278,5276516,4947740,66342108,1015280,0,293538,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7360570,5243658,5026154,66385774,1015770,0,293790
7380296,5225598,4904004,66311672,1010856,0,293580,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7374514,5231268,4857356,66299520,1009162,0,294224
7382046,5182478,4996838,66254748,1017562,0,293930,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7377524,5188372,4945220,66027556,1014048,0,294210
7387898,5189464,4912040,66376674,1019732,0,294266,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7388374,5220614,5012826,66431498,1022196,0,293622
7386554,5233410,4970420,66202388,1018822,0,294056,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7377664,5302976,5063254,66380664,1016456,0,294532
7404880,5280408,5267780,66344390,1013628,0,294434,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7394352,5317914,5411308,66469382,1015560,0,294084
7384412,5324074,5304936,66450496,1015714,0,293986,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7381038,5325124,6063078,66456726,1013222,0,294070
7392406,5333594,5947648,66380286,1014412,0,293930,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL,7375018,5332012,8527344,66417288,1016722,0,294266
