Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708641746,Device: id=0,TX,11.058482385356,5661.9434933011,7431.300674958,836540455,76466442816
1708641747,Device: id=0,TX,11.008675414198,5636.4423240683,7397.8303903401,847549155,77170999680
1708641748,Device: id=0,TX,6.463690475113,7719.7691688102,8753.9596448283,854012920,78135981952
1708641749,Device: id=0,TX,2.3401918723808,9585.4228373141,9959.8535368951,856353144,79334176256
1708641750,Device: id=0,TX,2.3394357638948,9582.3258169845,9956.6355392077,858692634,80531994752
1708641751,Device: id=0,TX,2.3390407269828,9580.7077457639,9954.9542620811,861031707,81729599744
1708641752,Device: id=0,TX,2.3379219532619,9576.125248578,9950.1927610999,863369642,82926622080
1708641753,Device: id=0,TX,2.3354673480916,9566.0711857931,9939.7459614877,865705117,84122384896
1708641754,Device: id=0,TX,2.3378281293718,9575.7409459448,9949.7934466443,868042974,85319367296
1708641755,Device: id=0,TX,2.3375522732422,9574.6110392207,9948.6194029394,870380542,86516201728
1708641756,Device: id=0,TX,2.3374043618874,9574.0051942982,9947.9898922002,872717952,87712955264
1708641757,Device: id=0,TX,2.3377033059344,9575.2296691882,9949.2621981377,875055717,88909890560
1708641758,Device: id=0,TX,2.3376074833484,9574.8371798652,9948.8543772009,877393378,90106772608
1708641759,Device: id=0,TX,2.3375186161357,9574.4731797175,9948.4761582992,879730916,91303591680
1708641760,Device: id=0,TX,2.3385124892444,9578.5440840088,9952.706082288,882069477,92500934528
1708641761,Device: id=0,TX,2.338035854063,9576.5917863001,9950.6775229502,884407557,93698031104
1708641762,Device: id=0,TX,2.3371089530382,9572.7951997038,9946.7326321899,886744711,94894653568
1708641763,Device: id=0,TX,2.3347116936977,9562.9760253979,9936.5298963895,889079432,96090030336
1708641764,Device: id=0,TX,2.3380849567811,9576.7929110528,9950.8865041378,891417576,97287159680
1708641765,Device: id=0,TX,2.3376991932988,9575.2128237922,9949.24469472,893755306,98484077056
1708641766,Device: id=0,TX,2.3381719518559,9577.149242807,9951.2567551039,896093482,99681222784
1708641767,Device: id=0,TX,2.3380131924787,9576.4948685058,9950.5769793024,898431532,100878303488
1708641768,Device: id=0,TX,3.4798903486569,9397.3466560721,9954.1291118572,901911459,102052984192
1708641769,Device: id=0,TX,4.5104141716709,9237.3271995892,9958.9934670565,906421905,103207658240
1708641770,Device: id=0,TX,4.5107566582286,9238.0286120559,9959.7496773725,910932678,104362416000
1708641771,Device: id=0,TX,4.5104022804758,9237.3028464212,9958.9672112973,915443110,105517086464
1708641772,Device: id=0,TX,4.5097916307769,9236.0522358315,9957.6188967558,919952903,106671593344
1708641773,Device: id=0,TX,4.5021242655199,9220.3494717967,9940.6893542799,924455080,107824150528
1708641774,Device: id=0,TX,4.5092899142954,9235.0226725151,9956.5090588024,928964426,108978542720
1708641775,Device: id=0,TX,4.5097277227993,9235.9234002928,9957.4798359407,933474154,110133033216
1708641776,Device: id=0,TX,4.5107546967232,9238.0245948938,9959.7453463695,937984929,111287791488
1708641777,Device: id=0,TX,4.5103244727048,9237.1434961121,9958.7954117449,942495309,112442448640
1708641778,Device: id=0,TX,4.5113125905099,9239.1651133978,9960.9751278794,947006671,113597356928
1708641779,Device: id=0,TX,4.5110340207927,9238.5986985751,9960.364141902,951517742,114752191232
1708641780,Device: id=0,TX,4.5111419561333,9238.8177021674,9960.6004151487,956028912,115907050624
1708641781,Device: id=0,TX,4.5121264787872,9240.8340045566,9962.7742411625,960541040,117062155264
1708641782,Device: id=0,TX,4.5101821393122,9236.8499493514,9958.4790916414,965051281,118216776576
1708641783,Device: id=0,TX,4.4775409681764,9170.0049268115,9886.4114817197,969528882,119363042560
1708641784,Device: id=0,TX,4.5078239593511,9232.0224447549,9953.2742782511,974036723,120517049728
1708641785,Device: id=0,TX,4.5099744906543,9236.4267328621,9958.0226513668,978546707,121671605504
1708641786,Device: id=0,TX,4.5103601373325,9237.216537267,9958.8741592402,983057111,122826268800
1708641787,Device: id=0,TX,4.5108011788333,9238.119790254,9959.8479788673,987567927,123981037568
1708641788,Device: id=0,TX,4.5112237443059,9238.9852043405,9960.7810034294,992079160,125135913088
1708641789,Device: id=0,TX,4.5110927239473,9238.7168746471,9960.4917104787,996590266,126290756096
1708641790,Device: id=0,TX,4.5118880633192,9240.3457296887,9962.2478198198,1001102202,127445811584
