Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1708640392,Device: id=1,RX,0.81057746613952,9843.6294861912,9973.3218807735,597447052,118419737378
1708640393,Device: id=1,RX,0.81112640078862,9850.3200351157,9980.1002592419,598258227,119651101156
1708640394,Device: id=1,RX,0.8111014340112,9850.0046952978,9979.7809247396,599069377,120882425466
1708640395,Device: id=1,RX,0.81104786721509,9849.3420359514,9979.1096947058,599880442,122113619228
1708640396,Device: id=1,RX,0.81085751809169,9847.0425803703,9976.779783265,600691348,123344573146
1708640397,Device: id=1,RX,0.81022049807729,9839.3066093163,9968.9418890086,601501617,124574560098
1708640398,Device: id=1,RX,0.81062844194853,9844.2728229616,9973.9733736734,602312294,125805167912
1708640399,Device: id=1,RX,0.75325827307667,9147.5452048523,9268.0665285446,603065572,126948641008
1708640400,Device: id=1,RX,0.81001057778359,9836.7573372687,9966.359029714,603875631,128178309180
1708640401,Device: id=1,RX,0.81069543265054,9845.0742147742,9974.7854839983,604686375,129409017182
1708640402,Device: id=1,RX,0.8106277040115,9844.2517182741,9973.952150916,605497058,130639632586
1708640403,Device: id=1,RX,0.81078821699947,9846.2131311888,9975.9392459087,606307888,131870472654
1708640404,Device: id=1,RX,0.8107604521628,9845.8516684579,9975.573340804,607118697,133101277808
1708640405,Device: id=1,RX,0.81053094909198,9843.0767260069,9972.7616778616,607929245,134331688282
1708640406,Device: id=1,RX,0.8109384158281,9848.0250024826,9977.7751490151,608740232,135562765158
1708640407,Device: id=1,RX,0.80780171509508,9809.9329087793,9939.1811831945,609548082,136789080068
1708640408,Device: id=1,RX,0.80902855285399,9824.8316265248,9954.2761949814,610357159,138017257564
1708640409,Device: id=1,RX,0.77157383159967,9369.9936348811,9493.4454479371,611128782,139188581406
1708640410,Device: id=1,RX,1.7200070898918,9660.7272252826,9935.9283596652,612848812,140396188394
1708640411,Device: id=1,RX,2.3408349553356,9588.0569051005,9962.5904979542,615189682,141594713450
1708640412,Device: id=1,RX,2.3414136478327,9590.4272295532,9965.0534132064,617531119,142793528810
1708640413,Device: id=1,RX,2.3413569855289,9590.1951407512,9964.8122584358,619872495,143992312938
1708640414,Device: id=1,RX,2.3404671481031,9586.5503666709,9961.0251103674,622212993,145190647530
1708640415,Device: id=1,RX,2.3403676501755,9586.142823135,9960.6016471631,624553373,146388921706
1708640416,Device: id=1,RX,2.3425639575283,9595.138898045,9969.9491312495,626895944,147588317674
1708640417,Device: id=1,RX,2.3374110770651,9574.032699706,9948.0184720365,629233391,148785090154
1708640418,Device: id=1,RX,2.3385725342677,9578.790028381,9952.9616338638,631571979,149982446826
1708640419,Device: id=1,RX,2.2981927128614,9413.3942798861,9781.1051139439,633870176,151159123306
1708640420,Device: id=1,RX,2.3360326682281,9568.3867370721,9942.1519639886,636206216,152355175402
1708640421,Device: id=1,RX,2.3382551077454,9577.4898493408,9951.6106665801,638544483,153552367722
1708640422,Device: id=1,RX,2.3383516262416,9577.8851891306,9952.0214493293,640882869,154749620970
1708640423,Device: id=1,RX,2.3380912573676,9576.8228141756,9950.9174153544,643220965,155946726250
1708640424,Device: id=1,RX,2.3378396710769,9575.7841248271,9949.8384721994,645558836,157143715306
1708640425,Device: id=1,RX,2.3383945604744,9578.0610477052,9952.2041773811,647897232,158340973674
1708640426,Device: id=1,RX,2.3390518294345,9580.7532214347,9955.0015141442,650236338,159538595562
1708640427,Device: id=1,RX,2.3363470657915,9569.6745095503,9943.4900400769,652572737,160734831466
1708640428,Device: id=1,RX,2.3350236228589,9564.2536872673,9937.8574669248,654907789,161930377706
1708640429,Device: id=1,RX,2.2610873167982,9261.4105776786,9623.1845483663,657168930,163088081514
1708640430,Device: id=1,RX,1.2769114156412,9111.6715775084,9315.977404011,658445909,164227100744
1708640431,Device: id=1,RX,0.80646724827328,9793.727143179,9922.7619029027,659252387,165451332958
1708640432,Device: id=1,RX,0.80634382183018,9792.2282530391,9921.2432645319,660058784,166675442214
1708640433,Device: id=1,RX,0.8057541702295,9785.0675235407,9913.9881907774,660864558,167898605756
1708640434,Device: id=1,RX,0.80614897657097,9789.8620517541,9918.8458880055,661670727,169122368908
1708640435,Device: id=1,RX,0.8059061889192,9786.9136383012,9915.8586285282,662476638,170345740416
1708640436,Device: id=1,RX,0.80606331970156,9788.8218347686,9917.7919659209,663282724,171569377574
1708640437,Device: id=1,RX,0.80448682108083,9769.6889791443,9898.4068705173,664087259,172790661832
1708640438,Device: id=1,RX,0.80675471531567,9797.2060001858,9926.2867546363,664894062,174015385878
1708640439,Device: id=1,RX,0.8089845667894,9824.2974597562,9953.7349904425,665703095,175243496582
1708640440,Device: id=1,RX,0.71414534874528,8672.5821391273,8786.8453949266,666417265,176327606770
1708640441,Device: id=1,RX,0.80871054930192,9820.9697913887,9950.363479277,667226024,177555301542
