SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
   55.89,   84.01,  222.91,  182.48,  278.80,  266.49,    104914,  545.29,  330.31,    1.42,  334.32,    4.74,  664.63,    6.17,     52966,  670.80,    943.44,    272.66,   1216.10
   56.22,   85.12,  223.70,  184.05,  279.92,  269.17,    105058,  549.09,  318.87,    1.86,  321.38,    5.22,  640.25,    7.08,     52963,  647.33,    920.17,    276.25,   1196.42
   51.64,   78.38,  205.87,  169.16,  257.51,  247.55,    104907,  505.06,  311.43,    1.40,  313.64,    4.71,  625.07,    6.11,     52872,  631.18,    882.58,    253.66,   1136.24
    3.80,    3.08,   20.88,   12.13,   24.68,   15.21,    104926,   39.89,  267.79,    1.39,  271.12,    4.75,  538.91,    6.14,     52628,  545.05,    563.59,     21.35,    584.94
    4.16,    1.86,   21.21,   10.88,   25.37,   12.74,    104842,   38.11,  274.56,    2.26,  277.80,    5.64,  552.36,    7.90,     52541,  560.26,    577.74,     20.63,    598.37
    3.40,    1.59,   19.18,    9.93,   22.58,   11.52,    104920,   34.10,  268.21,    1.62,  271.63,    4.94,  539.85,    6.56,     52607,  546.41,    562.43,     18.08,    580.51
    5.32,    3.83,   26.16,   15.07,   31.49,   18.89,    104836,   50.38,  258.12,    2.29,  262.21,    5.59,  520.33,    7.88,     52579,  528.21,    551.82,     26.77,    578.59
   14.32,    9.75,   55.19,   32.04,   69.51,   41.79,    104868,  111.30,  295.99,   15.72,  297.33,   19.12,  593.32,   34.83,     52611,  628.15,    662.83,     76.62,    739.45
    7.16,    4.10,   31.53,   17.09,   38.69,   21.19,    104946,   59.88,  342.33,    5.44,  349.92,    8.75,  692.25,   14.19,     52735,  706.44,    730.94,     35.38,    766.33
    4.60,    2.49,   23.59,   12.46,   28.19,   14.95,    104850,   43.14,  282.17,    1.79,  291.57,    5.13,  573.73,    6.91,     52581,  580.64,    601.92,     21.86,    623.78
    3.35,    1.77,   18.54,    9.68,   21.90,   11.45,    104925,   33.35,  272.65,    2.06,  275.11,    5.40,  547.75,    7.46,     52638,  555.21,    569.65,     18.91,    588.56
    4.03,    2.32,   21.60,   11.53,   25.63,   13.85,    104830,   39.47,  259.25,    1.42,  265.57,    4.74,  524.81,    6.16,     52564,  530.97,    550.44,     20.00,    570.44
    2.96,    1.74,   17.40,    9.19,   20.37,   10.92,    104921,   31.29,  244.53,    1.51,  252.43,    4.83,  496.96,    6.34,     52599,  503.30,    517.33,     17.26,    534.59
    3.42,    2.06,   19.28,   10.36,   22.70,   12.43,    104826,   35.13,  240.72,    1.72,  250.18,    5.06,  490.90,    6.79,     52526,  497.69,    513.60,     19.21,    532.82
    3.53,    1.99,   19.75,   10.41,   23.28,   12.40,    104924,   35.68,  239.15,    1.35,  248.15,    4.71,  487.30,    6.06,     52587,  493.36,    510.58,     18.46,    529.04
    3.31,    1.95,   18.88,   10.11,   22.19,   12.06,    104824,   34.25,  240.69,    1.88,  251.02,    5.22,  491.71,    7.10,     52525,  498.81,    513.90,     19.16,    533.06
    5.60,    5.50,   27.43,   17.29,   33.03,   22.79,    104921,   55.82,  249.19,    2.20,  253.12,    5.52,  502.31,    7.72,     52601,  510.04,    535.34,     30.51,    565.85
    4.56,    3.20,   23.78,   13.39,   28.34,   16.59,    104825,   44.94,  251.32,    1.29,  251.98,    4.61,  503.31,    5.90,     52521,  509.20,    531.65,     22.49,    554.14
   23.78,   18.88,   92.54,   55.07,  116.32,   73.94,    105044,  190.26,  361.20,   11.87,  368.66,   15.13,  729.86,   27.01,     52764,  756.86,    846.17,    100.95,    947.12
    4.16,    2.80,   22.18,   12.31,   26.34,   15.12,    104827,   41.46,  297.77,    1.33,  302.57,    4.68,  600.34,    6.01,     52593,  606.35,    626.68,     21.13,    647.81
    3.72,    1.96,   20.23,   10.54,   23.94,   12.50,    104928,   36.44,  261.04,    1.10,  267.57,    4.44,  528.61,    5.54,     52612,  534.14,    552.55,     18.03,    570.58
    3.49,    1.58,   19.05,    9.76,   22.53,   11.34,    104833,   33.88,  256.92,    2.35,  258.90,    5.68,  515.82,    8.04,     52549,  523.86,    538.35,     19.38,    557.73
    3.50,    1.74,   19.45,   10.03,   22.95,   11.77,    104916,   34.72,  271.50,    1.61,  275.38,    4.92,  546.88,    6.53,     52615,  553.41,    569.83,     18.30,    588.13
    3.72,    2.09,   20.35,   10.84,   24.07,   12.93,    104809,   36.99,  253.39,    1.20,  255.86,    4.54,  509.25,    5.74,     52524,  514.99,    533.32,     18.67,    551.99
    3.35,    1.57,   18.62,    9.58,   21.97,   11.15,    104917,   33.12,  232.54,    1.15,  241.23,    4.47,  473.76,    5.62,     52549,  479.38,    495.73,     16.77,    512.50
    3.07,    1.52,   17.74,    9.32,   20.81,   10.83,    104831,   31.64,  236.64,    1.52,  248.23,    4.87,  484.87,    6.39,     52512,  491.26,    505.68,     17.22,    522.91
    3.47,    2.02,   19.46,   10.36,   22.93,   12.38,    104934,   35.32,  249.32,    2.70,  255.43,    6.03,  504.75,    8.73,     52569,  513.48,    527.68,     21.11,    548.79
